"Tourist_Locations","Domestic_Overnight_Visitors","Foreign_Overnight_Visitors","Total_Overnight_Visitors","Estimated_Day_Visitors","Total Visitors+ Day Visitors","","","","","","","",""
"Goa","182436","349877","","","","","","","","","","",""
"A&N","8147","33813","","","","","","","","","","",""
"Daman & Diu","5420","29448","","","","","","","","","","",""
"Lakshadeep","7843","35594","","","","","","","","","","",""
"Pondicherry","32960","73621","","","","","","","","","","",""
"Dadra & Nagar Haveli","2939","26404","","","","","","","","","","",""
"Others","260","20844","","","","","","","","","","",""
"Total","6563290","12205380","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"The table indicates the fact that majority of the overnight visitors to the State during the period of May 2005 - April 2006 were from the state of Karnataka followed by the State of Kerala and Tamil Nadu.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 7-3: Foreign Overnight Visitors � Origin and Bed nights spent","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Country","No. of Foreign Overnight Visitors","Bed Night Spent","","","","","","","","","","",""
"UK","10113","15535","","","","","","","","","","",""
"USA","15869","24734","","","","","","","","","","",""
"Canada","6109","9330","","","","","","","","","","",""
"Germany","6991","17713","","","","","","","","","","",""
"Other European Countries*","4664","6710","","","","","","","","","","",""
"Australia","9600","15027","","","","","","","","","","",""
"Sri Lanka","3786","5716","","","","","","","","","","",""
"France","9213","16329","","","","","","","","","","",""
"Japan","4656","6974","","","","","","","","","","",""
"Malaysia","3163","4629","","","","","","","","","","",""
"Singapore","2926","4300","","","","","","","","","","",""
"Italy","7656","11637","","","","","","","","","","",""
"Nepal","1875","2703","","","","","","","","","","",""
"Netherlands","3366","4833","","","","","","","","","","",""
"Korea","4430","5511","","","","","","","","","","",""
"Israel","4421","8798","","","","","","","","","","",""
"Pakistan","953","1439","","","","","","","","","","",""
"Bangladesh","1148","1473","","","","","","","","","","",""
"UAE","2097","2927","","","","","","","","","","",""
"Spain","2857","5485","","","","","","","","","","",""
"Switzerland","3231","4612","","","","","","","","","","",""
"China","1517","1995","","","","","","","","","","",""
"Saudi Arabia","2311","3428","","","","","","","","","","",""
"Greece","1455","1958","","","","","","","","","","",""
"Belgium","2555","3671","","","","","","","","","","",""
"Others","4041","6177","","","","","","","","","","",""
"Total","121285","193759","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"* Other European countries � (Russia, Turkey, Austria, Poland, Norway, Finland, Romania, Cyprus, Georgia)","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 7.4: Centre wise spread of Accommodation Units","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Location","No. of Hotels","No. of Rooms","No. of Beds","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Bangalore","378","19094","37874","","","","","","","","","",""
"Kolar","25","409","734","","","","","","","","","",""
"Tumkur","25","543","1113","","","","","","","","","",""
"Mysore","92","3275","6457","","","","","","","","","",""
"Mandya","17","425","783","","","","","","","","","",""
"Belgaum","85","2087","3581","","","","","","","","","",""
"Karwar","35","1042","1761","","","","","","","","","",""
"Dharwad","37","903","1634","","","","","","","","","",""
"Hubli","73","2819","4171","","","","","","","","","",""
"Mangalore","55","2728","4874","","","","","","","","","",""
"Udupi","50","1805","3581","","","","","","","","","",""
"Shimoga","30","1127","2059","","","","","","","","","",""
"Hassan","30","1079","1759","","","","","","","","","",""
"Chikamagalur","30","879","1495","","","","","","","","","",""
"Hampi","42","630","1260","","","","","","","","","",""
"Hospet","67","906","1702","","","","","","","","","",""
"Raichur","27","559","1059","","","","","","","","","",""
"Chitradurga","30","521","1066","","","","","","","","","",""
"Gulbarga","47","1087","1828","","","","","","","","","",""
"Bidar","27","444","753","","","","","","","","","",""
"Bijapur","45","1116","1909","","","","","","","","","",""
"Bagalkot","25","760","1325","","","","","","","","","",""
"Madikeri","55","802","1683","","","","","","","","","",""
"Charmarajanagar","13","173","267","","","","","","","","","",""
"Kamalapur","1","4","16","","","","","","","","","",""
"Total","1298","44583","83467","","","","","","","","","",""
"","","","","","","","","","","","","",""
"The table indicates the centre wise spread of hotels, available rooms and beds. In totality 1298 hotels having 44583 Rooms and 83467 Beds were available in the State.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 7.5: Variation of Centre wise Occupancy ratio in Accommodation Units the table below indicates the variation of occupancy on a centre wise basis.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Locations","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr",""
"Bangalore","62.8","73.8","68.2","71","67.5","71.8","88.26","89.7","85.47","76.49","68.85","51.73",""
"Kolar","8.73","5.55","10","12.82","6.31","11.34","35.19","9.75","9.32","20.68","18.85","19.34",""
"Tumkur","14.91","13.69","18.76","24.09","23.42","26.19","54.08","19.52","19.32","27.8","25.62","27.1",""
"Mysore","46.7","32.6","25.38","22.03","26.35","85.19","89","93.44","72.76","79.46","83.34","87.16",""
"Mandya","27.94","11.15","11.5","11.89","7.33","18.29","27","14.86","10.27","12.46","16.23","16.91",""
"Belgaum","4.37","6.58","17.29","14.98","10.8","10.07","33.34","9.53","11.37","10.02","10.06","10.16",""
"Karwar","6.87","7.74","11.35","15.26","19.01","15.34","40.15","15.64","14.06","14.32","15.85","16.14",""
"Dharwad","6.04","10.03","10.6","11.16","13.23","13.99","32.53","9.69","10.07","10.69","10.22","10.63",""
"Hubli","8.72","8.32","17.57","20.77","20.16","24.82","89.5","31.39","33.67","16.37","17.58","18.43",""
"Mangalore","15","10.89","14.9","13.78","17.38","3.49","10.35","3.97","21.56","22.46","24.09","24.23",""
"Udupi","16.34","9.97","12.69","14.96","15.02","31.6","76.5","26.04","25.8","38.95","20.71","22.94",""
"Shimoga","55.31","20.32","22.78","29.14","15.73","26.14","89.76","40.54","20.19","19.28","17.38","17.91",""
"Hassan","22.11","17.05","27.52","27.63","17.9","20.12","56.9","22.39","15.24","18.55","18.13","18.75",""
"Chikamagalur","29","14.38","18.19","19.1","12.18","22.49","57.51","19.53","12.81","9.7","8.96","9.58",""
"Hampi","0","1.87","2.05","2.31","4.76","15.43","27.29","46.51","41.61","13.66","12.73","13.04",""
"Hospet","25.36","11.64","12.97","17.89","17.75","41.66","45.12","46.29","45.26","49.69","24.9","25.68",""
"Raichur","21.46","15.11","18.69","16.31","16.66","29.27","92.06","38.46","24.48","26.56","22.59","23.73",""
"Chitradurga","28.79","18.07","21.04","20.46","21.5","17.74","73.84","23.69","26.2","32.31","27.88","28.32",""
"Gulbarga","25.86","19.82","16.36","21.13","32.79","13.1","44.75","14.7","25.03","36.31","29.81","30.68",""
"Bidar","20.42","15.87","15.29","19.5","23.15","83.85","87.5","68.32","29.06","33.22","36.3","36.31",""
"Bijapur","27.26","25.48","21.88","23.44","23.7","10.63","37.31","12.04","25.8","38.55","29.97","30.88",""
"Bagalkot","13.38","12.79","10.56","11.92","11.36","35.5","86.03","30.58","10.92","10.75","12.38","12.9",""
"Madikeri","35.81","16.07","26.35","31.36","22.58","10.06","24.09","8.06","18.45","17.7","17.81","19.23",""
"Charmarajanagar","14.17","26.97","28.26","42.23","23.33","28","34.9","32.8","45.06","22.36","20.32","21.32",""
"Kamalapur","5.9","10.8","9.68","10.89","15.16","35.9","45.9","33.8","27.7","20.6","21.9","31.9",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 7.6: Centre wise classification of Accommodation Units","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Location","Type of Accommodation Unit","","","","","","","","","","","",""
"","Starred","Unstarred","Others","Total","","","","","","","","",""
"Bangalore","107","43","228","378","","","","","","","","",""
"Kolar","4","21","","25","","","","","","","","",""
"Tumkur","5","18","2","25","","","","","","","","",""
"Mysore","33","59","","92","","","","","","","","",""
"Mandya","4","12","1","17","","","","","","","","",""
"Belgaum","11","71","3","85","","","","","","","","",""
"Karwar","11","24","","35","","","","","","","","",""
"Dharwad","3","34","","37","","","","","","","","",""
"Hubli","14","57","2","73","","","","","","","","",""
"Mangalore","14","37","4","55","","","","","","","","",""
"Udupi","10","22","18","50","","","","","","","","",""
"Shimoga","10","19","1","30","","","","","","","","",""
"Hassan","14","12","4","30","","","","","","","","",""
"Chikamagalur","10","11","9","30","","","","","","","","",""
"Hampi","0","0","42","42","","","","","","","","",""
"Hospet","9","23","35","67","","","","","","","","",""
"Raichur","5","12","10","27","","","","","","","","",""
"Chitradurga","12","12","6","30","","","","","","","","",""
"Gulbarga","36","11","","47","","","","","","","","",""
"Bidar","18","2","7","27","","","","","","","","",""
"Bijapur","0","41","4","45","","","","","","","","",""
"Bagalkot","0","25","","25","","","","","","","","",""
"Madikeri","15","37","3","55","","","","","","","","",""
"Charmarajanagar","0","13","","13","","","","","","","","",""
"Kamalapur","0","1","","1","","","","","","","","",""
"Total","345","617","337","1298","","","","","","","","",""
"","","","","","","","","","","","","",""
"The table indicates the fact that Majority of Accommodation Units in the State are under the �Unstarred� category.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 7-7: Employment profile in Starred Accommodation Units","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Department","Permanent","","Temporary","","","","","","","","","",""
"","No of Employees","Percentage","No of Employees","Percentage","","","","","","","","",""
"Management Team","179","6.2","211","5.6","","","","","","","","",""
"Front Office","147","5.1","166","4.4","","","","","","","","",""
"F&B (Service)","189","6.5","226","6","","","","","","","","",""
"F&B (Kitchen)","204","7.1","198","5.2","","","","","","","","",""
"House Keeping","241","8.3","338","8.9","","","","","","","","",""
"Accounts","173","6","257","6.8","","","","","","","","",""
"EDP","258","8.9","336","8.9","","","","","","","","",""
"Security","202","7","309","8.2","","","","","","","","",""
"Sales & Stores","268","9.3","182","4.8","","","","","","","","",""
"Purchase","155","5.4","272","7.2","","","","","","","","",""
"Human Resources","144","5","306","8.1","","","","","","","","",""
"Public Relation","189","6.5","319","8.4","","","","","","","","",""
"Engineering","144","5","209","5.5","","","","","","","","",""
"Telephone","205","7.1","250","6.6","","","","","","","","",""
"Health Club","14","0.5","11","0.3","","","","","","","","",""
"Laundry","141","4.9","119","3.1","","","","","","","","",""
"Other Departments","36","1.2","82","2.2","","","","","","","","",""
"Total","2890","100","3792","100","","","","","","","","",""
"","","","","","","","","","","","","",""
"The Table indicates that there are 2890 permanent and 3792 temporary employees employed in the starred accommodation units in the state. Majority of the permanent employees were in the Sales & Stores, EDP and House Keeping Department. Majority of Temporary employees were in the Housekeeping and Edp Department. Under the starred accommodation units, the employment profile in the heritage units have been analyzed further and the results are indicated in the table below:","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 7.11: Category wise Employment profile in different Centers","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Locations","Management","","Front Office","","F&B (Service)","","F&B (Kitchen)","","","","","",""
"","Team","","","","","","","","","","","",""
"","Temp","Perm","Temp","Perm","Temp","Perm","Temp","Perm","","","","",""
"Bangalore","110","111","91","107","124","118","129","118","","","","",""
"Kolar","10","11","9","10","12","11","12","11","","","","",""
"Tumkur","10","11","9","10","12","11","12","11","","","","",""
"Mysore","39","39","32","37","43","41","45","41","","","","",""
"Mandya","7","7","6","7","8","8","8","8","","","","",""
"Belgaum","36","36","29","35","40","38","42","38","","","","",""
"Karwar","15","15","12","14","17","16","17","16","","","","",""
"Dharwad","15","16","13","15","17","17","18","17","","","","",""
"Hubli","31","31","25","30","34","33","36","33","","","","",""
"Mangalore","23","23","19","22","26","25","27","25","","","","",""
"Udupi","21","21","17","20","24","22","25","22","","","","",""
"Shimoga","13","13","10","12","14","13","15","13","","","","",""
"Hassan","13","13","10","12","14","13","15","13","","","","",""
"Chikamagalur","13","13","10","12","14","13","15","13","","","","",""
"Hospet","28","28","23","27","32","30","33","30","","","","",""
"Raichur","11","11","9","11","13","12","13","12","","","","",""
"Chitradurga","13","13","10","12","14","13","15","13","","","","",""
"Gulbarga","20","20","16","19","22","21","23","21","","","","",""
"Bidar","11","11","9","11","13","12","13","12","","","","",""
"Bijapur","19","19","16","18","21","20","22","20","","","","",""
"Bagalkot","10","11","9","10","12","11","12","11","","","","",""
"Madikeri","23","23","19","22","26","25","27","25","","","","",""
"Charmarajanagar","5","5","5","5","6","6","6","6","","","","",""
"Total","495","499","411","481","559","531","581","530","","","","",""
"Hampi details have been included in Hospet.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 7.11: Category wise Employment profile in different Centers","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Locations","Housekeeping","","Accounts","","EDP","","Security","","","","","",""
"","Temp","Perm","Temp","Perm","Temp","Perm","Temp","Perm","","","","",""
"Bangalore","152","114","134","119","163","129","134","132","","","","",""
"Kolar","14","11","13","11","15","12","13","13","","","","",""
"Tumkur","14","11","13","11","15","12","13","13","","","","",""
"Mysore","53","40","47","42","57","45","47","46","","","","",""
"Mandya","10","7","9","8","11","8","9","9","","","","",""
"Belgaum","49","37","43","39","53","42","43","43","","","","",""
"Karwar","20","15","18","16","22","17","18","18","","","","",""
"Dharwad","21","16","19","17","23","18","19","19","","","","",""
"Hubli","42","32","37","33","45","36","37","37","","","","",""
"Mangalore","32","24","28","25","34","27","28","28","","","","",""
"Udupi","29","22","25","23","31","25","25","25","","","","",""
"Shimoga","17","13","15","14","19","15","15","15","","","","",""
"Hassan","17","13","15","14","19","15","15","15","","","","",""
"Chikamagalur","17","13","15","14","19","15","15","15","","","","",""
"Hospet","39","29","34","30","41","33","34","34","","","","",""
"Raichur","16","12","14","12","17","13","14","14","","","","",""
"Chitradurga","17","13","15","14","19","15","15","15","","","","",""
"Gulbarga","27","20","24","21","29","23","24","24","","","","",""
"Bidar","16","12","14","12","17","13","14","14","","","","",""
"Bijapur","26","20","23","20","28","22","23","23","","","","",""
"Bagalkot","14","11","13","11","15","12","13","13","","","","",""
"Madikeri","32","24","28","25","34","27","28","28","","","","",""
"Charmarajanagar","8","6","7","6","8","6","7","7","","","","",""
"Total","684","513","602","537","732","582","602","592","","","","",""
"","","","","","","","","","","","","",""
"Table 7.11`: Category wise Employment profile in different Centers","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Locations","Sales & Stores","","Human","","Public Relation","","Engineering","","","","","",""
"","","","Resources","","","","","","","","","",""
"","Temp","Perm","Temp","Perm","Temp","Perm","Temp","Perm","","","","",""
"Bangalore","97","181","154","113","130","94","139","117","","","","",""
"Kolar","9","17","15","11","12","9","13","11","","","","",""
"Tumkur","9","17","15","11","12","9","13","11","","","","",""
"Mysore","34","63","54","40","46","33","49","41","","","","",""
"Mandya","6","12","10","7","8","6","9","8","","","","",""
"Belgaum","31","59","50","37","42","30","45","38","","","","",""
"Karwar","13","24","20","15","17","12","19","16","","","","",""
"Dharwad","14","26","22","16","18","13","20","16","","","","",""
"Hubli","27","50","43","31","36","26","39","33","","","","",""
"Mangalore","20","38","32","24","27","20","29","25","","","","",""
"Udupi","19","34","29","22","25","18","26","22","","","","",""
"Shimoga","11","21","18","13","15","11","16","13","","","","",""
"Hassan","11","21","18","13","15","11","16","13","","","","",""
"Chikamagalur","11","21","18","13","15","11","16","13","","","","",""
"Hospet","25","46","39","29","33","24","35","30","","","","",""
"Raichur","10","19","16","12","13","10","14","12","","","","",""
"Chitradurga","11","21","18","13","15","11","16","13","","","","",""
"Gulbarga","17","32","27","20","23","17","25","21","","","","",""
"Bidar","10","19","16","12","13","10","14","12","","","","",""
"Bijapur","17","31","26","19","22","16","24","20","","","","",""
"Bagalkot","9","17","15","11","12","9","13","11","","","","",""
"Madikeri","20","38","32","24","27","20","29","25","","","","",""
"Charmarajanagar","5","9","8","6","6","5","7","6","","","","",""
"Total Karnataka","438","815","692","510","587","422","625","527","","","","",""
"","","","","","","","","","","","","",""
"Table 7.11: Category wise Employment profile in different Centers","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Locations","Telephone","","Health Club","","Laundry","","Other","","","","","",""
"","","","","","","","Departments","","","","","",""
"","Temp","Perm","Temp","Perm","Temp","Perm","Temp","Perm","","","","",""
"Bangalore","130","104","7","11","70","74","69","40","","","","",""
"Kolar","12","10","1","1","7","7","7","4","","","","",""
"Tumkur","12","10","1","1","7","7","7","4","","","","",""
"Mysore","45","36","3","4","24","26","24","14","","","","",""
"Mandya","8","7","0","1","5","5","4","3","","","","",""
"Belgaum","42","33","2","4","23","24","22","13","","","","",""
"Karwar","17","14","1","2","9","10","9","5","","","","",""
"Dharwad","18","15","1","2","10","10","10","6","","","","",""
"Hubli","36","29","2","3","19","21","19","11","","","","",""
"Mangalore","27","22","2","2","15","15","15","8","","","","",""
"Udupi","25","20","1","2","13","14","13","8","","","","",""
"Shimoga","15","12","1","1","8","8","8","5","","","","",""
"Hassan","15","12","1","1","8","8","8","5","","","","",""
"Chikamagalur","15","12","1","1","8","8","8","5","","","","",""
"Hospet","33","26","2","3","18","19","18","10","","","","",""
"Raichur","13","11","1","1","7","8","7","4","","","","",""
"Chitradurga","15","12","1","1","8","8","8","5","","","","",""
"Gulbarga","23","19","1","2","13","13","12","7","","","","",""
"Bidar","13","11","1","1","7","8","7","4","","","","",""
"Bijapur","22","18","1","2","12","13","12","7","","","","",""
"Bagalkot","12","10","1","1","7","7","7","4","","","","",""
"Madikeri","27","22","2","2","15","15","15","8","","","","",""
"Charmarajanagar","6","5","0","1","3","4","3","2","","","","",""
"Total","584","466","33","51","315","333","312","179","","","","",""
"","","","","","","","","","","","","",""
"D)��� � Restaurants","","","","","","","","","","","","",""
"An overall employment profile of restaurants in the state is given in table below.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 8-3: Evaluation of Accommodation Facility � Domestic Overnight Visitors","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Locations","Percentage Distribution","","","","","Estimated No. of Domestic Overnight Visitors","","","","","","",""
"","Excellent","Good","Satisfactory","Poor","All","","","","","","","",""
"Bangalore","53.8","30.1","14.2","1.9","100","2556416","","","","","","",""
"Kolar","29.6","18.9","12.6","38.9","100","32840","","","","","","",""
"Tumkur","19.7","38.5","36.2","5.6","100","92362","","","","","","",""
"Mysore","36.6","45.8","13.7","3.9","100","1400367","","","","","","",""
"Shravanbelagola","20.6","42.9","30.9","5.6","100","4002","","","","","","",""
"Mandya","20.1","38.9","30.5","10.5","100","50517","","","","","","",""
"Belgaum","46","37.4","13.4","3.1","100","137152","","","","","","",""
"Karwar","21.5","42.8","27.3","8.4","100","87694","","","","","","",""
"Dharwad","44","37.6","15.1","3.3","100","100924","","","","","","",""
"Hubli","27.5","38.3","29.1","5.1","100","297374","","","","","","",""
"Davnegar","40.2","33","22.4","4.4","100","35858","","","","","","",""
"Gokarna","29.7","37","15.3","18","100","29951","","","","","","",""
"Mangalore","39.2","29.8","13.3","17.7","100","352309","","","","","","",""
"Udupi","33.7","37.5","18.3","10.5","100","229688","","","","","","",""
"Kolur","38.9","28.6","23.6","8.9","100","12203","","","","","","",""
"Shimoga","34.5","39.7","14.1","11.7","100","174473","","","","","","",""
"Hassan","4.2","66.3","23.1","6.3","100","125381","","","","","","",""
"Chikamagalur","32.8","44.7","18.8","3.7","100","72795","","","","","","",""
"Kukusubranjini","29.2","45","17.5","8.4","100","1332","","","","","","",""
"Hampi","31.1","28.4","36.9","3.6","100","29893","","","","","","",""
"Hospet","30.1","35.1","21.5","13.3","100","117640","","","","","","",""
"Lakundi","30.6","26.3","30.1","13","100","8155","","","","","","",""
"Raichur","28.2","46","21.5","4.3","100","84540","","","","","","",""
"Chitradurga","34.8","33.2","26.3","5.8","100","104792","","","","","","",""
"Gulbarga","9.1","17.3","7.6","66","100","175658","","","","","","",""
"Ganigapura","21.8","32.8","18.4","26.9","100","7174","","","","","","",""
"Bidar","21.8","32.8","18.4","27","100","67368","","","","","","",""
"Basvakalyan","18.9","37.5","19","24.6","100","12609","","","","","","",""
"Bijapur","35.7","31","20.4","12.9","100","177928","","","","","","",""
"Bagalkot","21.8","45.7","19.8","12.7","100","63250","","","","","","",""
"Madikeri","35.8","32.7","14.7","16.8","100","133434","","","","","","",""
"Charmarajanagar","45.8","21.8","14.8","17.6","100","24255","","","","","","",""
"Malai Mahadeshwar","34.9","35.8","0.4","28.9","100","13703","","","","","","",""
"Kamalapur","21.8","37.8","21.5","18.9","100","62404","","","","","","",""
"Total","40.6","35.5","17.1","6.8","100","6876441","","","","","","",""
"","","","","","","","","","","","","",""
"Majority of domestic overnight visitors to the State feel that accommodation facility being offered in different centers of the State are excellent.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 8-4: Evaluation of Accommodation Facility � Foreign Overnight Visitors","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Locations","Percentage Distribution","","","","","Estimated No. of Foreign Oevrnite Visitors","","","","","","",""
"","Excellent","Good","Satisfactory","Poor","All","","","","","","","",""
"Bangalore","65.1","20.1","13.9","0.9","100","42118","","","","","","",""
"Kolar","68","32","","","100","68","","","","","","",""
"Tumkur","45","55","","","100","112","","","","","","",""
"Mysore","28.5","33.1","36.1","2.3","100","43783","","","","","","",""
"Shravanbelagola","28.4","38.6","24.8","8.2","100","5","","","","","","",""
"Mandya","22.1","37.6","18.2","22.1","100","161","","","","","","",""
"Belgaum","55.5","31.6","12.6","0.4","100","126","","","","","","",""
"Karwar","48.2","21.4","19.3","11.1","100","768","","","","","","",""
"Dharwad","34.3","51.2","12.4","2.1","100","154","","","","","","",""
"Hubli","32.6","38.8","16.8","11.8","100","992","","","","","","",""
"Gokarna","44.4","35.9","12.7","7","100","152","","","","","","",""
"Mangalore","91","6.9","1.3","0.7","100","1381","","","","","","",""
"Udupi","34.6","41","17.6","6.8","100","1532","","","","","","",""
"Kolur","25.2","30.3","38.9","5.6","100","7","","","","","","",""
"Shimoga","36.3","47.2","12.8","3.7","100","711","","","","","","",""
"Hassan","31.6","39.8","16.5","12.1","100","1307","","","","","","",""
"Chikamagalur","16.7","38","24.2","21.2","100","200","","","","","","",""
"Kukusubranjini","34.2","39.9","17.1","8.7","100","2038","","","","","","",""
"Hampi","16.4","49","33.6","1","100","12055","","","","","","",""
"Hospet","45.6","32.9","16.2","5.3","100","3638","","","","","","",""
"Raichur","41.1","30.1","25.2","3.6","100","93","","","","","","",""
"Chitradurga","40","40","20","","100","3430","","","","","","",""
"Gulbarga","35","46.6","10","8.4","100","693","","","","","","",""
"Ganigapura","42","36","22","","100","23","","","","","","",""
"Bidar","64.3","35.7","0","0","100","210","","","","","","",""
"Basvakalyan","35","46.6","10","8.4","100","202","","","","","","",""
"Bijapur","39.8","42.5","8.9","8.8","100","2574","","","","","","",""
"Bagalkot","42.7","32.1","7.9","17.3","100","213","","","","","","",""
"Madikeri","48.7","35.7","12.6","3","100","2445","","","","","","",""
"Malai Mahadeshwar","47.9","34.2","7.8","10.1","100","16","","","","","","",""
"Kamalapur","38.9","43.8","9.7","7.6","100","78","","","","","","",""
"Total","39.7","33.1","23.9","3.3","100","121285","","","","","","",""
"","","","","","","","","","","","","",""
"The foreign overnight visitors at an overall level have rated accommodation facility from excellent to good.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 8-5: Evaluation of Quality of Food � Domestic Overnight Visitors","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Locations","Percentage Distribution","","","","Estimated No. of Domestic Overnight Visitors","","","","","","","",""
"","Very Good","Reasonable","Poor","All","","","","","","","","",""
"Bangalore","48.7","24.9","26.4","100","2556416","","","","","","","",""
"Kolar","50.3","24.4","25.3","100","32840","","","","","","","",""
"Tumkur","59.8","33.4","6.8","100","92362","","","","","","","",""
"Mysore","53.8","33.5","12.6","100","1400367","","","","","","","",""
"Shravanbelagola","51.9","38.6","9.5","100","4002","","","","","","","",""
"Mandya","41.6","40.5","17.9","100","50517","","","","","","","",""
"Belgaum","57.9","29.1","13","100","137152","","","","","","","",""
"Karwar","40.1","37.6","22.3","100","87694","","","","","","","",""
"Dharwad","58.1","32.4","9.6","100","100924","","","","","","","",""
"Hubli","56.6","32.6","10.8","100","297374","","","","","","","",""
"Davnegar","50.2","31","18.8","100","35858","","","","","","","",""
"Gokarna","38.6","40.4","21.1","100","29951","","","","","","","",""
"Mangalore","51.1","34","14.9","100","352309","","","","","","","",""
"Udupi","50.9","34.8","14.3","100","229688","","","","","","","",""
"Kolur","52.1","26.7","21.2","100","12203","","","","","","","",""
"Shimoga","71.9","17.8","10.3","100","174473","","","","","","","",""
"Hassan","29.5","50.1","20.4","100","125381","","","","","","","",""
"Chikamagalur","37.3","34.3","28.4","100","72795","","","","","","","",""
"Kukusubranjini","66","20.9","13.1","100","1332","","","","","","","",""
"Hampi","68.5","22.1","9.5","100","29893","","","","","","","",""
"Hospet","51.2","26.6","22.2","100","117640","","","","","","","",""
"Lakundi","66.1","22.8","11.1","100","8155","","","","","","","",""
"Raichur","63.6","29.3","7.1","100","84540","","","","","","","",""
"Chitradurga","51.3","34.8","13.9","100","104792","","","","","","","",""
"Gulbarga","54","27.7","18.3","100","175658","","","","","","","",""
"Ganigapura","44","27.3","28.7","100","7174","","","","","","","",""
"Bidar","32.8","21.4","45.8","100","67368","","","","","","","",""
"Basvakalyan","56.7","28.5","14.8","100","12609","","","","","","","",""
"Bijapur","64.7","18.6","16.7","100","177928","","","","","","","",""
"Bagalkot","78.5","7.7","13.8","100","63250","","","","","","","",""
"Madikeri","67.9","14.2","17.9","100","133434","","","","","","","",""
"Charmarajanagar","56.8","27.3","15.9","100","24255","","","","","","","",""
"Malai Mahadeshwar","65.9","8.3","25.8","100","13703","","","","","","","",""
"Kamalapur","53.5","11.9","34.6","100","62404","","","","","","","",""
"Total","51.3","29.6","19.1","100","6876441","","","","","","","",""
"","","","","","","","","","","","","",""
"The domestic overnight visitors at the overall level have indicated that the food being offered is good quality.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 8-6:: Evaluation of Quality of Food � Foreign Overnight Visitors","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Locations","Percentage Distribution","","","","Estimated No. of Foreign Overnight Visitors","","","","","","","",""
"","Very Good","Reasonable","Poor","All","","","","","","","","",""
"Bangalore","45.4","30.8","23.8","100","42118","","","","","","","",""
"Kolar","36","64","","100","68","","","","","","","",""
"Tumkur","47","53","","100","112","","","","","","","",""
"Mysore","48.6","36.6","14.8","100","43783","","","","","","","",""
"Shravanbelagola","42","34.5","23.5","100","5","","","","","","","",""
"Mandya","54.9","31.5","13.6","100","161","","","","","","","",""
"Belgaum","46.3","36.3","17.4","100","126","","","","","","","",""
"Karwar","66.8","31.2","1.9","100","768","","","","","","","",""
"Dharwad","51.2","22.1","26.7","100","154","","","","","","","",""
"Hubli","72.4","20.6","6.9","100","992","","","","","","","",""
"Gokarna","42.2","27.3","30.5","100","152","","","","","","","",""
"Mangalore","72.3","13.2","14.5","100","1381","","","","","","","",""
"Udupi","36.1","51.1","12.8","100","1532","","","","","","","",""
"Kolur","46.4","39.1","14.5","100","7","","","","","","","",""
"Shimoga","19","74.7","6.3","100","711","","","","","","","",""
"Hassan","43.4","49.7","6.9","100","1307","","","","","","","",""
"Chikamagalur","33.7","60.9","5.4","100","200","","","","","","","",""
"Kukusubranjini","65.7","30.7","3.7","100","2038","","","","","","","",""
"Hampi","49.7","41.5","8.9","100","12055","","","","","","","",""
"Hospet","78.4","19.5","2.1","100","3638","","","","","","","",""
"Raichur","33.9","60.6","5.4","100","93","","","","","","","",""
"Chitradurga","64","36","","100","3430","","","","","","","",""
